chr	seq_start	seq_end	seq_strand	patch_id	group_id	add_id	center	num_roi	stretch	strands_roi	positions_roi	bins_roi
chr1	1	196608	+	ENSG00000186092.7_0	ENSG00000186092.7	OR4F5	98369	1	0	['+']	65419	191
chr1	353310	549917	-	ENSG00000284733.2_0	ENSG00000284733.2	OR4F29	451678	1	0	['-']	451678	448
chr1	588286	784893	-	ENSG00000284662.2_0	ENSG00000284662.2	OR4F16	686654	1	0	['-']	686654	448
chr1	825555	1022162	+	ENSG00000187634.13_0	ENSG00000187634.13	SAMD11	923923	1	0	['+']	923923	448
chr1	860888	1057495	-	ENSG00000188976.11_0	ENSG00000188976.11	NOC2L	959256	1	0	['-']	959256	448
chr1	862216	1058823	+	ENSG00000187961.15_0	ENSG00000187961.15	KLHL17	960584	1	0	['+']	960584	448
chr1	868114	1064721	+	ENSG00000187583.11_0	ENSG00000187583.11	PLEKHN1	966482	1	0	['+']	966482	448
chr1	883725	1080332	-	ENSG00000187642.10_0	ENSG00000187642.10	PERM1	982093	1	0	['-']	982093	448
chr1	901729	1098336	-	ENSG00000188290.11_0	ENSG00000188290.11	HES4	1000097	1	0	['-']	1000097	448
chr1	915129	1111736	+	ENSG00000187608.10_0	ENSG00000187608.10	ISG15	1013497	1	0	['+']	1013497	448
